design_id,tangentiality,center_baffle_ratio,shield_ratio,shield_gap_ratio,outlet_submergence_ratio,flow_distribution,complexity,weighted_capture_proxy,head_loss_proxy_m,overload_sediment_risk_proxy,maintainability_proxy,feasible
1748,0.730624352447468,0.15288841228749217,0.29828577894793623,0.10231740921137954,0.3514101178222914,0.5754534416922068,0.8422435148293118,0.3927746267047005,0.10314956917055115,4.0,0.7017142210520636,False
1749,0.6630773152530747,0.31366294064599176,0.612315348402309,0.03614378003483968,0.10102282680209299,0.27120736032312404,0.9611151871557669,0.2209294227910643,0.14770595158419225,4.0,0.3855336537049566,False
1750,0.12091103645537993,0.20024695420590444,0.20864253339883604,0.0934858108409319,0.2619178472406857,0.21748763443906674,0.2419356008494281,0.17110076094467455,0.04388031618313353,4.0,0.7913574666011641,True
1751,0.16512468496518085,0.0904540340204481,0.5639525699020271,0.12622621191456662,0.6946001794432661,0.31035789528023383,0.39258986743038304,0.20382027958572613,0.045412031153009284,4.0,0.43604743009797287,False
1752,0.3017853092212901,0.152836777271334,0.7037183817012798,0.16032851632927114,0.6664405093606963,0.728107436535288,0.9433639473355406,0.37869601514187956,0.06144270595901387,3.9827194111560256,0.29628161829872024,False
1753,0.7592957469018057,0.1666051389042984,0.681216976447764,0.17365201692140866,0.3076476511224713,0.880063525831537,0.8555772488323985,0.5031573842015482,0.10777938175934425,4.0,0.318783023552236,False
1754,0.6637057117298042,0.2166948857964986,0.6681371822847222,0.12314500782707409,0.2192854153917136,0.44916689169490376,0.527219341814953,0.34181097666986415,0.09010223877223901,4.0,0.3318628177152778,False
1755,0.9126340498890826,0.15736810020296282,0.41185450702802673,0.12071648758113741,0.23113913736164116,0.25644539875289346,0.1427042698551172,0.24415823854973476,0.12109395296195806,4.0,0.5881454929719733,False
1756,0.9096936788575445,0.17988968523475563,0.7090771291987314,0.1790692715488785,0.3985873729629173,0.8809867949310195,0.4496270453659781,0.5128302863891813,0.12597532266587916,4.0,0.29092287080126855,False
1757,0.7357414704401644,0.3850175568582776,0.6142857949588546,0.05016668655384578,0.22183747599821413,0.6944496126390953,0.8901136833391478,0.42284115626057944,0.14036999101348505,4.0,0.3857142050411454,False
1758,0.2730613789764075,0.1965473044436517,0.4022710821759536,0.044175258681946716,0.07108128637768887,0.6113682218660097,0.48420782227306103,0.31164976458028215,0.08975130593452689,4.0,0.4712027592740983,False
1759,0.5377485161492014,0.10838492841807681,0.7828043667289961,0.17516892693389477,0.6231174783575097,0.8598378850455617,0.6674499530337756,0.4481558391995835,0.0757324247313154,4.0,0.21719563327100389,False
1760,0.6748877675139047,0.3054501395752856,0.4588828620156787,0.18864379821551622,0.06615998882569937,0.4199192362776472,0.9064413035390275,0.27227563898762996,0.10017788894703045,4.0,0.5411171379843214,False
1761,0.29422324470950767,0.30053290113270903,0.7441152888733031,0.03973835932438115,0.5988291632138523,0.2575692301039258,0.7601841019435867,0.21984282743715133,0.10418356574986566,3.804906583876355,0.25588471112669686,False
